IP Address,Reputation,Latitude,Longitude
163.172.140.20,Malicious Host FR,48.8582000732,2.33870005608
27.159.92.181,Malicious Host CN,24.4797992706,118.08190155
186.250.115.93,Malicious Host BR,,
45.248.192.48,Malicious Host IN,,
101.0.57.60,Malicious Host IN,20.0,77.0
120.85.114.64,Malicious Host CN,,
120.85.114.146,Malicious Host CN,,
175.10.19.32,Malicious Host CN,,
163.125.211.144,Malicious Host CN,,
61.242.54.49,Malicious Host CN,,
210.89.63.231,Malicious Host IN,,
49.89.62.252,Malicious Host CN,32.0616989136,118.777801514
70.50.155.251,Malicious Host CA,,
115.62.58.10,Malicious Host CN,34.6836013794,113.532501221
117.204.149.200,Malicious Host IN,,
185.191.246.45,Malicious Host PL,52.2393989563,21.0361995697
120.85.97.71,Malicious Host CN,,
103.170.92.11,Malicious Host ,23.1166992188,113.25
120.85.172.249,Malicious Host CN,,
1.246.222.234,Malicious Host KR,,
58.249.87.78,Malicious Host CN,23.1166992188,113.25
51.158.125.226,Malicious Host FR,,
125.224.126.41,Malicious Host TW,,
1.34.226.50,Malicious Host TW,,
36.228.50.77,Malicious Host TW,,
115.165.221.95,Malicious Host TW,,
220.143.33.129,Malicious Host TW,23.5,121.0
185.142.239.135,Malicious Host NL,52.3824005127,4.89949989319
27.194.122.23,Malicious Host CN,36.0985984802,120.371902466
120.85.115.49,Malicious Host CN,,
120.86.237.94,Malicious Host CN,,
59.126.96.5,Malicious Host TW,,
49.158.196.18,Malicious Host TW,23.5,121.0
114.33.64.24,Malicious Host TW,,
218.161.106.26,Malicious Host TW,,
114.35.194.18,Malicious Host TW,,
23.247.108.44,Malicious Host US,,
114.36.34.63,Malicious Host TW,,
114.41.226.96,Malicious Host TW,,
123.110.213.41,Malicious Host TW,23.5,121.0
106.104.116.79,Malicious Host TW,,
220.134.206.134,Malicious Host TW,,
1.173.242.161,Malicious Host TW,23.5,121.0
220.134.64.169,Malicious Host TW,,
86.157.2.211,Malicious Host GB,,
220.135.135.44,Malicious Host TW,,
125.228.33.211,Malicious Host TW,23.5,121.0
36.231.35.185,Malicious Host TW,,
1.171.103.192,Malicious Host TW,,
114.35.131.161,Malicious Host TW,23.5,121.0
60.244.133.195,Malicious Host TW,23.5,121.0
117.95.137.93,Malicious Host CN,,
27.215.114.223,Malicious Host CN,36.0985984802,120.371902466
163.125.211.119,Malicious Host CN,,
163.204.211.80,Malicious Host CN,23.1166992188,113.25
120.86.236.217,Malicious Host CN,,
112.6.221.37,Malicious Host CN,,
120.86.254.133,Malicious Host CN,,
1.34.58.110,Malicious Host TW,,
112.105.10.251,Malicious Host TW,23.5,121.0
1.161.219.86,Malicious Host TW,,
125.228.89.178,Malicious Host TW,23.5,121.0
122.116.229.208,Malicious Host TW,,
111.252.213.245,Malicious Host TW,,
61.224.147.178,Malicious Host TW,,
114.34.135.57,Malicious Host TW,,
125.228.43.197,Malicious Host TW,23.5,121.0
49.213.187.246,Malicious Host TW,23.5,121.0
201.184.54.179,Malicious Host CO,4.59810018539,-74.0757980347
42.231.171.245,Malicious Host CN,,
157.61.213.146,Malicious Host CN,,
124.131.55.15,Malicious Host CN,,
51.158.117.164,Malicious Host FR,,
220.134.236.78,Malicious Host TW,,
123.205.156.212,Malicious Host TW,,
207.180.219.238,Malicious Host ,22.9908008575,120.213302612
167.172.59.207,Malicious Host GB,51.4963989258,-0.122400000691
165.227.84.230,Malicious Host US,,
62.16.41.210,Malicious Host RU,,
78.154.219.169,Malicious Host KW,,
178.72.78.202,Malicious Host RU,,
182.52.136.45,Malicious Host TH,,
175.183.16.135,Malicious Host TW,23.5,121.0
101.0.41.25,Malicious Host IN,,
61.242.58.239,Malicious Host CN,,
120.85.115.46,Malicious Host CN,,
103.40.196.24,Malicious Host IN,,
157.61.212.29,Malicious Host CN,,
157.61.212.78,Malicious Host CN,,
157.61.212.87,Malicious Host CN,,
116.2.173.20,Malicious Host CN,,
61.242.54.242,Malicious Host CN,,
101.181.60.181,Malicious Host AU,,
219.69.110.206,Malicious Host TW,,
220.135.241.12,Malicious Host TW,,
49.213.183.219,Malicious Host TW,23.5,121.0
58.248.193.105,Malicious Host CN,,
223.155.34.126,Malicious Host CN,28.1791992188,113.113601685
41.86.19.146,Malicious Host LR,,
125.44.11.69,Malicious Host CN,34.6836013794,113.532501221
61.242.54.170,Malicious Host CN,,
118.79.140.135,Malicious Host CN,37.7268981934,112.470802307
120.85.118.219,Malicious Host CN,,
59.175.63.89,Malicious Host CN,,
163.179.167.155,Malicious Host CN,,
161.97.143.54,Malicious Host US,,
51.211.117.109,Malicious Host SA,25.0,45.0
180.188.232.122,Malicious Host IN,,
183.161.1.19,Malicious Host CN,,
222.118.4.29,Malicious Host KR,37.5111999512,126.974098206
219.68.238.49,Malicious Host TW,,
101.181.26.186,Malicious Host AU,,
114.33.190.246,Malicious Host TW,,
202.164.139.218,Malicious Host IN,,
157.61.212.117,Malicious Host CN,,
175.11.64.24,Malicious Host CN,,
114.239.51.77,Malicious Host CN,,
176.221.206.115,Malicious Host GE,,
61.242.40.225,Malicious Host CN,,
58.248.193.141,Malicious Host CN,,
27.207.195.126,Malicious Host CN,36.0985984802,120.371902466
183.237.146.206,Malicious Host CN,,
120.226.28.55,Malicious Host CN,34.7724990845,113.726600647
101.181.68.79,Malicious Host AU,-33.4939994812,143.210403442
122.117.28.200,Malicious Host TW,,
101.181.73.91,Malicious Host AU,-33.4939994812,143.210403442
